experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: vision
  prompt structure: single

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9593932032585144, max_false: 0.9492641687393188, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9369441270828247, max_false: 0.8852594494819641, correct: True
in: torch.Size([257, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9167541861534119, max_false: 0.9137827157974243, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9531237483024597, max_false: 0.9537756443023682, correct: False
in: torch.Size([2817, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9249497056007385, max_false: 0.9212079048156738, correct: True
in: torch.Size([257, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8700721859931946, max_false: 0.8088640570640564, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9708678126335144, max_false: 0.957471489906311, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9511041045188904, max_false: 0.9578679800033569, correct: False
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9537033438682556, max_false: 0.9428792595863342, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9701036214828491, max_false: 0.966819703578949, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9435466527938843, max_false: 0.9306880235671997, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9587955474853516, max_false: 0.9495526552200317, correct: True
in: torch.Size([769, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9166184067726135, max_false: 0.9092214703559875, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9453672170639038, max_false: 0.9484766721725464, correct: False
in: torch.Size([2817, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9757236838340759, max_false: 0.9440411925315857, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9572575092315674, max_false: 0.9767434000968933, correct: False
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.969980001449585, max_false: 0.9684386253356934, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9674879908561707, max_false: 0.953580379486084, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9748419523239136, max_false: 0.9393482208251953, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9460912346839905, max_false: 0.9612254500389099, correct: False
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9498841166496277, max_false: 0.9621267318725586, correct: False
in: torch.Size([257, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9025956392288208, max_false: 0.8963438868522644, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9595491886138916, max_false: 0.9549899697303772, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9421437978744507, max_false: 0.9187940359115601, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9661596417427063, max_false: 0.9337360262870789, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9527236819267273, max_false: 0.921678900718689, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9618910551071167, max_false: 0.9621270895004272, correct: False
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9446649551391602, max_false: 0.9452155828475952, correct: False
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9819689989089966, max_false: 0.9538977146148682, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9421300888061523, max_false: 0.9062023758888245, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9778109192848206, max_false: 0.9430505633354187, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9747308492660522, max_false: 0.9609018564224243, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.969789445400238, max_false: 0.9628796577453613, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8905155062675476, max_false: 0.9127651453018188, correct: False
